rank,prompt,recall,precision,f1,tp,fp,fn,time_sec
1,person. pilot. crew member.,0.8852,0.9074,0.8961,686,70,89,51.9
2,person. human.,0.8903,0.8892,0.8897,690,86,85,50.8
3,person.,0.8839,0.8748,0.8793,685,98,90,50.2
4,person. pilot. sailor. crew member.,0.7871,0.9104,0.8443,610,60,165,52.3
5,people.,0.8645,0.8221,0.8428,670,145,105,50.7
6,sailor.,0.7406,0.8955,0.8107,574,67,201,51.2
7,pilot.,0.7019,0.8933,0.7861,544,65,231,50.7
8,maritime worker.,0.6774,0.9036,0.7743,525,56,250,51.2
9,man.,0.6606,0.9078,0.7647,512,52,263,50.9
10,crew member.,0.6271,0.7801,0.6953,486,137,289,51.2
11,human figure.,0.6013,0.819,0.6935,466,103,309,51.4
12,human.,0.5832,0.7559,0.6584,452,146,323,50.6
13,person standing on deck.,0.3974,0.8603,0.5437,308,50,467,51.0
14,person climbing ladder.,0.3755,0.6554,0.4774,291,153,484,51.3
15,person on ship.,0.329,0.4505,0.3803,255,311,520,50.6
