run_name,model,tier,imgsz,epochs,batch,workers,ladder_recall,ladder_precision,person_recall,person_precision,ladder_avg_pred_conf,person_avg_pred_conf,ladder_area_mean,ladder_area_p50,ladder_area_p90,gold_val_images,best_ckpt_path
y11n_t0_960,yolo11n.pt,0,960,50,32,12,0.61186,0.514739,0.87871,0.770362,0.620464,0.681878,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11n_t0_960\best.pt
y11s_t0_960,yolo11s.pt,0,960,50,24,12,0.636119,0.588529,0.867097,0.787808,0.61939,0.708457,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11s_t0_960\best.pt
y11n_t0_960,yolo11n.pt,0,960,50,32,6,0.644205,0.55711,0.876129,0.781358,0.630044,0.692563,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11n_t0_960\best.pt
y11s_t0_960,yolo11s.pt,0,960,50,24,6,0.641509,0.589109,0.872258,0.776119,0.598224,0.70306,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11s_t0_960\best.pt
y11m_t0_960,yolo11m.pt,0,960,50,16,6,0.638814,0.530201,0.865806,0.784795,0.618265,0.723683,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11m_t0_960\best.pt
y11l_t0_960,yolo11l.pt,0,960,50,12,6,0.657682,0.504132,0.874839,0.759239,0.556895,0.685802,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11l_t0_960\best.pt
y11x_t0_960,yolo11x.pt,0,960,50,8,6,0.6469,0.5074,0.845161,0.761628,0.568103,0.678867,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11x_t0_960\best.pt
y11m_t1_960,yolo11m.pt,1,960,50,16,4,0.649596,0.533186,0.886452,0.770179,0.56934,0.703446,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11m_t1_960\best.pt
y11m_t2_960,yolo11m.pt,2,960,50,16,4,0.652291,0.603491,0.88129,0.792343,0.58593,0.705452,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11m_t2_960\best.pt
y11s_t1_960,yolo11s.pt,1,960,50,24,4,0.641509,0.545872,0.863226,0.788915,0.633712,0.724822,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11s_t1_960\best.pt
y11s_t2_960,yolo11s.pt,2,960,50,24,4,0.641509,0.590571,0.865806,0.772152,0.6112,0.692187,0.0652728222,0.0457551926,0.1589322537,386,C:\Users\Jungstershark\Documents\Projects\Capstone\Pyxis-Capstone\model_finetuning\weights\y11s_t2_960\best.pt
